Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"July 18, 2019",282.200012,283.059998,279.190002,282.910004,1696100,2019 Q3
COST,"July 19, 2019",283.070007,284.309998,281.350006,281.51001,1607600,2019 Q3
COST,"July 22, 2019",281.220001,282.320007,279.320007,280.170013,1459100,2019 Q3
COST,"July 23, 2019",281.850006,282.079987,279.019989,280.100006,1117800,2019 Q3
COST,"July 24, 2019",279.829987,281.23999,279.01001,280.829987,1257100,2019 Q3
COST,"July 25, 2019",281.200012,281.940002,279.339996,279.799988,1600200,2019 Q3
COST,"July 26, 2019",279.799988,281.769989,279.119995,281.369995,1447700,2019 Q3
COST,"July 29, 2019",281.01001,281.299988,279.540009,280.130005,1257400,2019 Q3
COST,"July 30, 2019",280.269989,280.570007,279.100006,279.5,978200,2019 Q3
COST,"July 31, 2019",279.019989,279.720001,272.630005,275.630005,1886900,2019 Q3
COST,"August 1, 2019",275.75,280.929993,274.309998,274.570007,2634300,2019 Q3
COST,"August 2, 2019",274.299988,274.940002,270.5,272.5,1969200,2019 Q3
COST,"August 5, 2019",270.089996,270.549988,262.709991,265.100006,3329800,2019 Q3
COST,"August 6, 2019",266.470001,270.230011,264.049988,269.309998,2383000,2019 Q3
COST,"August 7, 2019",268.179993,274.859985,263.589996,274.299988,3037500,2019 Q3
COST,"August 8, 2019",273.040009,274.839996,271,274.799988,2046700,2019 Q3
COST,"August 9, 2019",274.579987,275.470001,271.910004,273.940002,1284300,2019 Q3
COST,"August 12, 2019",274.029999,274.980011,269.299988,271.309998,1638600,2019 Q3
COST,"August 13, 2019",271.179993,278.160004,270.01001,276.26001,1724600,2019 Q3
COST,"August 14, 2019",274,275.359985,268,268.149994,2122100,2019 Q3
COST,"August 15, 2019",270.529999,272.970001,268.769989,271.519989,1623200,2019 Q3
COST,"August 16, 2019",274.100006,276.070007,273.440002,274.100006,1230800,2019 Q3
COST,"August 19, 2019",276.410004,277.380005,274.549988,275.609985,1313400,2019 Q3
COST,"August 20, 2019",276.279999,276.359985,272.850006,272.970001,1390600,2019 Q3
COST,"August 21, 2019",275.410004,276.540009,274.700012,275.679993,1682300,2019 Q3
COST,"August 22, 2019",277.01001,280.98999,276.869995,279.920013,2345500,2019 Q3
COST,"August 23, 2019",278.209991,280.130005,272.700012,274.01001,1984300,2019 Q3
COST,"August 26, 2019",275.75,278.529999,275.690002,278.459991,1426400,2019 Q3
COST,"August 27, 2019",281,293.440002,280.339996,292.380005,5169000,2019 Q3
COST,"August 28, 2019",293.75,299.950012,292.420013,294.48999,5162100,2019 Q3
COST,"August 29, 2019",297.480011,297.730011,292.76001,296.570007,2613100,2019 Q3
COST,"August 30, 2019",298,298.279999,292.829987,294.76001,1801000,2019 Q3
COST,"September 3, 2019",292.570007,294,290.459991,292.049988,1842900,2019 Q3
COST,"September 4, 2019",294,296.299988,293.769989,296.119995,1375700,2019 Q3
COST,"September 5, 2019",298.429993,299.709991,296.679993,296.970001,1865300,2019 Q3
COST,"September 6, 2019",299.200012,304.640015,298.290009,303.76001,3018100,2019 Q3
